level_0,index,year,state,state_po,office,candidate,party,candidatevotes,totalvotes,democratvotes,republicanvotes,last_name,first_name,suffix,nickname,bioguide_id
0,0,1976,ALASKA,AK,US HOUSE,"YOUNG, Donald Edwin",REPUBLICAN,83722,118208,34194.0,83722.0,YOUNG,DONALD,,,Y000033
1,1,1976,ALABAMA,AL,US HOUSE,"BEVILL, Tom",DEMOCRAT,141490,176022,141490.0,98257.0,BEVILL,TOM,,,B000431
2,2,1976,ARKANSAS,AR,US HOUSE,"TUCKER, James (Jim) Guy, Jr.",DEMOCRAT,144780,167607,144780.0,52565.0,TUCKER,JAMES,JR,JIM,T000400
3,3,1976,ARIZONA,AZ,US HOUSE,"UDALL, Morris King",DEMOCRAT,106054,182128,106054.0,96397.0,UDALL,MORRIS,,,U000001
4,4,1976,CALIFORNIA,CA,US HOUSE,"BURGENER, Clair Walter",REPUBLICAN,173576,267051,160477.0,173576.0,BURGENER,CLAIR,,,B001080
5,5,1976,COLORADO,CO,US HOUSE,"ARMSTRONG, William Lester",REPUBLICAN,126784,190851,121340.0,126784.0,ARMSTRONG,WILLIAM,,,A000219
6,6,1976,CONNECTICUT,CT,US HOUSE,"SARASIN, Ronald Arthur",REPUBLICAN,157009,236087,142684.0,157009.0,SARASIN,RONALD,,,S000062
7,7,1976,DELAWARE,DE,US HOUSE,"EVANS, Thomas Beverley, Jr.",REPUBLICAN,110636,215085,102411.0,110636.0,EVANS,THOMAS,JR,,E000258
8,8,1976,FLORIDA,FL,US HOUSE,"ROGERS, Paul Grant",DEMOCRAT,199031,218437,199031.0,164273.0,ROGERS,PAUL,,,R000401
9,9,1976,GEORGIA,GA,US HOUSE,"JENKINS, Edgar Lanier (Ed)",DEMOCRAT,113245,143357,113245.0,72400.0,JENKINS,EDGAR,,ED,J000083
10,10,1976,HAWAII,HI,US HOUSE,"AKAKA, Daniel Kahikina",DEMOCRAT,124116,156099,124116.0,53745.0,AKAKA,DANIEL,,,A000069
11,11,1976,IOWA,IA,US HOUSE,"SMITH, Neal Edward",DEMOCRAT,145343,210356,145343.0,117957.0,SMITH,NEAL,,,S000596
12,12,1976,IDAHO,ID,US HOUSE,"SYMMS, Steven Douglas",REPUBLICAN,95833,175495,82237.0,95833.0,SYMMS,STEVEN,,,S001138
13,13,1976,ILLINOIS,IL,US HOUSE,"ERLENBORN, John Neal",REPUBLICAN,176076,236588,152344.0,176076.0,ERLENBORN,JOHN,,,E000204
14,14,1976,INDIANA,IN,US HOUSE,"HAMILTON, Lee Herbert",DEMOCRAT,136056,136056,136056.0,130005.0,HAMILTON,LEE,,,H000114
15,15,1976,KANSAS,KS,US HOUSE,"SEBELIUS, Keith George",REPUBLICAN,142311,194772,90067.0,142311.0,SEBELIUS,KEITH,,,S000217
16,16,1976,KENTUCKY,KY,US HOUSE,"HUBBARD, Carroll, Jr.",DEMOCRAT,118886,144985,118886.0,100204.0,HUBBARD,CARROLL,JR,,H000878
17,17,1976,LOUISIANA,LA,US HOUSE,"BREAUX, John Berlinger",DEMOCRAT,117196,140610,117196.0,109135.0,BREAUX,JOHN,,,B000780
18,18,1976,MASSACHUSETTS,MA,US HOUSE,"STUDDS, Gerry Eastman",DEMOCRAT,222418,222504,222418.0,176604.0,STUDDS,GERRY,,,S001040
19,19,1976,MARYLAND,MD,US HOUSE,"LONG, Clarence Dickinson",DEMOCRAT,139196,196303,139196.0,111274.0,LONG,CLARENCE,,,L000413
20,20,1976,MAINE,ME,US HOUSE,"COHEN, William Sebastian",REPUBLICAN,169292,219547,108105.0,169292.0,COHEN,WILLIAM,,,C000598
21,21,1976,MICHIGAN,MI,US HOUSE,"VANDER JAGT, Guy Adrian",REPUBLICAN,146712,209701,126161.0,146712.0,VANDER JAGT,GUY,,,V000027
22,22,1976,MINNESOTA,MN,US HOUSE,"OBERSTAR, James Louis",DEMOCRAT,206755,206755,206755.0,158177.0,OBERSTAR,JAMES,,,O000006
23,23,1976,MISSOURI,MO,US HOUSE,"TAYLOR, Gene",REPUBLICAN,133656,215504,132386.0,133656.0,TAYLOR,GENE,,,T000075
24,24,1976,MISSISSIPPI,MS,US HOUSE,"MONTGOMERY, Gillespie V. (Sonny)",DEMOCRAT,129088,137409,129088.0,104554.0,MONTGOMERY,GILLESPIE,,SONNY,M000865
25,25,1976,MONTANA,MT,US HOUSE,"BAUCUS, Max Sieben",DEMOCRAT,111487,167784,111487.0,84149.0,BAUCUS,MAX,,,B000243
26,26,1976,NORTH CAROLINA,NC,US HOUSE,"FOUNTAIN, Lawrence H.",DEMOCRAT,113368,113368,113368.0,99882.0,FOUNTAIN,LAWRENCE,,,F000319
27,27,1976,NORTH DAKOTA,ND,US HOUSE,"ANDREWS, Mark",REPUBLICAN,181018,289881,104263.0,181018.0,ANDREWS,MARK,,,A000208
28,28,1976,NEBRASKA,NE,US HOUSE,"SMITH, Virginia Dodd",REPUBLICAN,150720,206765,106296.0,150720.0,SMITH,VIRGINIA,,,S000622
29,29,1976,NEW HAMPSHIRE,NH,US HOUSE,"D'AMOURS, Norman Edward",DEMOCRAT,107806,158242,107806.0,100911.0,D'AMOURS,NORMAN,,,D000017
30,30,1976,NEW JERSEY,NJ,US HOUSE,"HUGHES, William John",DEMOCRAT,141753,229668,141753.0,137803.0,HUGHES,WILLIAM,,,H000930
31,31,1976,NEW MEXICO,NM,US HOUSE,"LUJÁN, Manuel, Jr.",REPUBLICAN,162587,225546,123563.0,162587.0,LUJÁN,MANUEL,JR,,L000506
32,32,1976,NEVADA,NV,US HOUSE,"SANTINI, James David",DEMOCRAT,153996,199863,153996.0,24124.0,SANTINI,JAMES,,,S000058
33,33,1976,NEW YORK,NY,US HOUSE,"STRATTON, Samuel Studdiford",DEMOCRAT,170034,215162,170034.0,151610.0,STRATTON,SAMUEL,,,S000997
34,34,1976,OHIO,OH,US HOUSE,"MOTTL, Ronald Milton",DEMOCRAT,130576,178380,130576.0,127147.0,MOTTL,RONALD,,,M001044
35,35,1976,OKLAHOMA,OK,US HOUSE,"WATKINS, Wesley Wade",DEMOCRAT,151271,184565,151271.0,87341.0,WATKINS,WESLEY,,,W000194
