index,cand_number,state,office,district,candidatevotes,election_month,election_type,icpsr_party_code,candidate,election_year
0,               1,Connecticut,Governor,                0,                419404,11: November,General,DEMOCRAT,"BOWLES, CHESTER",1950.0
1,               2,Connecticut,Governor,                0,                436418,11: November,General,MODERN REPUBLICAN,"LODGE, JOHN D",1950.0
2,               3,Connecticut,Governor,                0,                 22913,11: November,General,SOCIALIST,"MCLEVY,",1950.0
3,               1,Connecticut,US Rep.,                1,                134258,11: November,General,DEMOCRAT,"RIBICOFF, ABRAHAM A",1950.0
4,               2,Connecticut,US Rep.,                1,                 96251,11: November,General,MODERN REPUBLICAN,"SCHWOLSKY, HARRY",1950.0
5,               3,Connecticut,US Rep.,                1,                   587,11: November,General,PEOPLE'S,"COHEN,",1950.0
6,               1,Connecticut,US Rep.,                2,                 66523,11: November,General,DEMOCRAT,"WOODHOUSE, CHASE GOING",1950.0
7,               2,Connecticut,US Rep.,                2,                 68747,11: November,General,MODERN REPUBLICAN,"FOOTE, ELLSWORTH B",1950.0
8,               1,Connecticut,US Rep.,                3,                 89391,11: November,General,DEMOCRAT,"CARROLL, DENNIS M",1950.0
9,               2,Connecticut,US Rep.,                3,                 82304,11: November,General,MODERN REPUBLICAN,"FOOTE,",1950.0
10,               3,Connecticut,US Rep.,                3,                   478,11: November,General,PEOPLE'S,"MARSALKA,",1950.0
11,               1,Connecticut,US Rep.,                4,                 88682,11: November,General,DEMOCRAT,"LYNCH, J GREGORY",1950.0
12,               2,Connecticut,US Rep.,                4,                111939,11: November,General,MODERN REPUBLICAN,"MORANO, ALBERT P",1950.0
13,               3,Connecticut,US Rep.,                4,                 10255,11: November,General,SOCIALIST,"NICHOLS,",1950.0
14,               1,Connecticut,US Rep.,                5,                 56752,11: November,General,DEMOCRAT,"BOGDANSKI, JOSEPH W",1950.0
15,               2,Connecticut,US Rep.,                5,                 65915,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1950.0
16,               3,Connecticut,US Rep.,                5,                  1311,11: November,General,SOCIALIST,"RING,",1950.0
17,               4,Connecticut,US Rep.,                5,                   328,11: November,General,PEOPLE'S,"STANESLOW,",1950.0
18,               1,Connecticut,US Rep.,               98,                426485,11: November,General,DEMOCRAT,"BOGDANSKI,",1950.0
19,               2,Connecticut,US Rep.,               98,                433912,11: November,General,MODERN REPUBLICAN,"SADLAK, ANTONI N",1950.0
20,               3,Connecticut,US Rep.,               98,                 15638,11: November,General,SOCIALIST,"MAYHEW,",1950.0
